#!/usr/bin/python
## جشن‌های باستانی ایران
## رضا مرادی غیاث‌آبادی (www.ghiasabadi.com)
## سعید رسولی <saeed.gnu@gmail.com>
01/06	روز امید، روز شادباش‌نویسی
01/10	جشن آبانگاه
01/13	جشن سیزده‌بدر
01/17	سروش‌روز، جشن سروشگان
01/19	فرورین‌روز، جشن فروردینگان
02/02	جشن گیاه‌آوری
02/03	اردیبهشت‌روز، جشن اردیبهشتگان
02/10	جشن چهلم نوروز
02/15	گاهنبار میدیوزَرِم، جشن میانهٔ بهار، جشن بهاربُد/ روز پیام‌آوری زرتشت
03/01	ارغاسوان، جشن گرما
03/06	خردادروز، جشن خردادگان
04/01	جشن آب‌پاشونک، جشن آغاز تابستان/ سال نو در گاهشماری گاهنباری/ دیدار طلوع خورشید در تقویم آفتابی چارتاقی نیاسر
04/06	جشن نیلوفر
04/13	تیرروز، جشن تیرگان
04/15	جشن خام‌خواری
05/07	مردادروز، جشن مردادگان
05/10	جشن چلهٔ تابستان
05/15	گاهنبار میدیوشِم، جشن میانهٔ تابستان
05/18	جشن مَی‌خواره
06/01	فغدیه، جشن خنکی هوا
06/03	جشن کشمین
06/04	شهریورروز، جشن شهریورگان/ زادروز داراب (کوروش)/ عروج مانی
06/08	خزان‌جشن
06/15	بازارجشن
06/31	گاهنبار پَتیَه‌شَهیم، جشن پایان تابستان
07/01	جشن میتراکانا/ سال نو هخامنشی
07/12	آیین قالیشویان اردهال، بازماندی از تیرگان
07/13	تیرروز، جشن تیرروزی
07/16	مهرروز، جشن مهرگان
07/21	رام‌روز، جشن رام‌روزی/ جشن پیروزی کاوه و فریدون
08/10	آبان‌روز، جشن آبانگان
08/15	گاهنبار اَیاثرَم، جشن میانهٔ پاییز
09/01	آذرجشن
09/09	آذرروز، جشن آذرگان
09/30	جشن شب یلدا (چله)/ گاهنبار میدیارِم، جشن میانهٔ سال گاهنباری (از مبدأ آغاز تابستان) و پایان پاییز
10/01	روز میلاد خورشید، جشن خرم‌روز/ نخستین جشن دیگان/ دیدار طلوع خورشید در تقویم آفتابی چارتاقی نیاسر
10/05	بازارجشن
10/08	دی‌به‌آذرروز، دومین جشن دیگان
10/14	سیرسور، جشن گیاه‌خواری
10/15	جشن پیکرتراشی/ دی‌به‌مهرروز، سومین جشن دیگان
10/16	جشن درامزینان، جشن درفش‌ها
10/23	دی‌به‌دین‌روز، چهارمین جشن دیگان
11/01	زادروز فردوسی
11/02	بهمن‌روز، جشن بهمنگان
11/04	شهریورروز، آغاز پادشاهی داراب (کوروش)
11/05	جشن نوسَره
11/10	آبان‌روز، جشن سَدَه، آتش‌افروزی بر بام‌ها/ نمایش‌بازی همگانی
11/15	جشن میانهٔ زمستان
11/22	بادروز، جشن بادروزی
12/01	جشن اسفندی/ جشن آبسالان، بهارجشن/ نمایش‌بازی همگانی
12/05	اسفندروز، جشن اسفندگان، گرامیداشت زمین و بانوان/ جشن برزگران
12/10	جشن وخشنکام
12/19	جشن نوروز رودها
12/20	جشن گلدان
12/25	هزارهٔ شاهنامه، هزارمین سالگرد پایان سرایش شاهنامهٔ فرودسی
12/26	فروردگان
12/29	گاهنبار هَمَسپَتمَدَم، جشن پایان زمستان (در آخرین روز سال)/ زادروز زرتشت/ جشن اوشیدر (نجات‌بخش ایرانی) در دریاچهٔ هامون و کوه خواجه/ آتش‌افروزی بر بام‌ها در استقبال از نوروز



 
1388/01/05	جشن نخستین چهارشنبهٔ سال
1388/12/25	چهارشبنه‌سوری، جشن شب چهارشنبهٔ آخر سال









