#!/usr/bin/python
## مطابق با استخراج و تنظیم شورای مرکز تقویم مؤسسهٔ ژئوفیزیک دانشگاه تهران‬ (مناسبت‌ها از شورای فرهنگ عمومی)
## گردآوری، فرمت‌بندی و به روزآوری: سعید رسولی <saeed.gnu@gmail.com> ، مولا پهنادایان <mola.mp@gmail.com>
01/01	آغاز سال میلادی
05/01	روز جهانی کار و کارگر
06/05	روز جهانی محیط زیست
08/21	روز جهانی مسجد
10/01	روز جهانی سالمندان
10/14	روز جهانی استاندارد
10/15	روز جهانی نابینایان (عصای سفید)
11/10	روز جهانی علم در خدمت صلح و توسعه
12/03	روز جهانی معلولان
#12/18	روز جهان عاری از خشونت و افراطی‌گری
12/25	‫ولادت حضرت عیسی مسیح (ع)
