#!/usr/bin/python
## مطابق با استخراج و تنظیم شورای مرکز تقویم مؤسسهٔ ژئوفیزیک دانشگاه تهران‬(مناسبت‌ها از شورای فرهنگ عمومی)
## گردآوری، فرمت‌بندی و به روزآوری: سعید رسولی <saeed.gnu@gmail.com> ، مولا پهنادایان <mola.mp@gmail.com>
01/01	آغاز سال هجری قمری
01/09	تاسوعای حسینی
01/10	عاشورای حسینی
01/11	روز تجلیل از اسرا و مفقودان
01/12	شهادت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق)
##01/18	تغییر قبلهٔ مسلمین از از بیت‌المقدس به مکهٔ معظمه(۲ ه‍‍.ق) ###### تغییر به ۱۵ رجب(07/15)
01/25	شهادت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق) به روایتی
02/07	شهادت امام حسن مجتبی(ع)(۵۰ ه‍‍.ق)(به روایتی) – روز بزرگداشت سلمان فارسی
02/20	اربعین حسینی
02/27	روز وقف
02/28	رحلت حضرت رسول اکرم(ص)(۱۱ ه‍‍.ق) – شهادت امام حسن مجتبی(ع)(۵۰ ه‍‍.ق)
02/30	شهادت امام رضا(ع)(۲۰۳ ه‍‍.ق)
03/01	هجرت رسول اکرم(ص) از مکه به مدینه
03/08	شهادت امام حسن عسگری(ع)(۲۶۰ ه‍‍.ق)
03/12	ولادت حضرت رسول اکرم(ص) به روایت اهل سنت(۵۳ سال قبل از هجرت). آغاز هفتهٔ وحدت
03/17	ولادت حضرت رسول اکرم(ص)(۵۳ سال قبل از هجرت) و روز اخلاق و مهرورزی – ولادت امام جعفر صادق(ع) مؤسس مذهب جعفری(۸۳ ه‍‍.ق)
04/08	ولادت امام حسن عسگری(ع)(۲۳۲ ه‍‍.ق)
04/10	وفات حضرت معصومه(س)(۲۰۱ ه‍‍.ق)
05/05	ولادت حضرت زینب(س)(۵ ه‍‍.ق) و روز پرستار
05/13	شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق) به روایتی
06/03	شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق)
06/13	‫سالروز وفات حضرت ام‌البنین (س) ـ روز تکریم مادران و همسران شهدا‬
06/20	ولادت حضرت فاطمهٔ زهرا(س)(سال هشتم قبل از هجرت) و روز زن – تولد امام خمینی(ره) رهبر کبیر انقلاب اسلامی(۱۳۲۰ ه‍‍.ق)
07/01	ولادت امام محمد باقر(ع)(۵۷ ه‍‍.ق)
07/03	شهادت امام علی النقی الهادی(ع)(۲۵۴ ه‍‍.ق)
07/10	ولادت امام محمد تقی(ع)(۱۹۵ ه‍‍.ق)
07/13	ولادت حضرت امام علی(ع)(۲۳ سال قبل از هجرت) – آغاز ایام‌البیض(اعتکاف)
07/15	وفات حضرت زینب(س)(۶۲ ه‍‍.ق) – تغییر قبلهٔ مسلمین از از بیت‌المقدس به مکهٔ معظمه(۲ ه‍‍.ق)
07/25	شهادت امام موسی کاظم(ع)(۱۸۳ ه‍‍.ق)
07/27	مبعث حضرت رسول اکرم(ص)(۱۳ سال قبل از هجرت)
08/03	ولادت امام حسین(ع)(۴ ه‍‍.ق) و روز پاسدار
08/04	ولادت حضرت ابوالفضل العباس(ع)(۲۶ ه‍‍.ق) و روز جانباز
08/05	ولادت امام زین‌العابدین(ع)(۳۸ ه‍‍.ق)
08/11	ولادت حضرت علی اکبر(ع)(۳۳ ه‍‍.ق) و روز جوان
08/15	ولادت حضرت قائم(عج)(۲۵۵ ه‍‍.ق) و روز جهانی مستضعفان
09/10	وفات حضرت خدیجه(س)(۳ سال قبل از هجرت)
09/15	ولادت امام حسن مجتبی(ع)(۳ ه‍‍.ق) و روز اکرام
09/18	شب قدر
09/19	ضربت خوردن حضرت علی(ع)(۵۴۰ ه‍‍.ق)
09/20	شب قدر
09/21	شهادت حضرت علی(ع)(۵۴۰ ه‍‍.ق)
09/22	شب قدر
10/01	عید سعید فطر
10/17	‫روز فرهنگ پهلوانی و ورزش زورخانه‌ای
10/25	شهادت امام جعفر صادق(ع)(۱۴۸ ه‍‍.ق)
11/01	ولادت حضرت معصومه(س)(۱۷۳ ه‍‍.ق) و روز دختران
11/05	روز تجلیل از امام‌زادگان و بقاع متبرکه
11/06	روز بزرگداشت حضرت احمدبن‌موسی شاهچراغ(ع)
11/11	ولادت امام رضا(ع)(۱۴۸ ه‍‍.ق)
11/30	شهادت امام محمد تقی(ع)(۲۲۰ ه‍‍.ق)
12/01	سالروز ازدواج حضرت علی(ع) و حضرت فاطمه(س)(۲ ه‍‍.ق) – روز ازدواج
12/06	‫شهادت مظلومانه زائران خانهٔ خدا به دستور آمریکا به دست مأموران آل سعود(۱۳۶۶ ه‍.ش برابر با ۶ ذی‌الحجه ۱۴۰۷ ه‍‍.ق)
12/07	شهادت امام محمد باقر(ع)(۱۱۴ ه‍‍.ق)
12/09	روز عرفه (روز نیایش)
12/10	عید سعید قربان
12/15	ولادت امام علی النقی الهادی(ع)(۲۱۲ ه‍‍.ق)
12/18	عید سعید غدیر خم(۱۰ ه‍‍.ق)
12/20	ولادت امام موسی کاظم(ع)(۱۲۸ ه‍‍.ق)
12/24	روز مباهلهٔ پیامبر اسلام(ص)(۱۰ ه‍‍.ق)
12/25	روز خانواده و تکریم بازنشستگان
1430/12/01	روز تکریم بازنشستگان
1427/09/26	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1428/09/30	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1429/09/25	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1430/09/28	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1431/09/23	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1432/09/26	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1433/09/28	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1434/09/24	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1435/09/27	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
1436/09/30	روز جهانی قدس(آخرین جمعهٔ ماه رمضان)
