#!/usr/bin/python
## مطابق با استخراج و تنظیم شورای مرکز تقویم مؤسسهٔ ژئوفیزیک دانشگاه تهران‬(مناسبت‌ها از شورای فرهنگ عمومی)
## گردآوری، فرمت‌بندی و به روزآوری: سعید رسولی <saeed.gnu@gmail.com> ، مولا پهنادایان <mola.mp@gmail.com>

01/01	آغاز عید نوروز
01/02	عید نوروز – هجوم مأموران ستم‌شاهی پهلوی به مدرسهٔ فیضیهٔ قم(۱۳۴۲ ه‍.ش) – آغاز عملیات فتح‌المبین(۱۳۶۱ ه‍.ش)
01/03	عید نوروز
01/04	عید نوروز
01/07	روز هنرهای نمایشی
01/12	روز جمهوری اسلامی ایران
01/13	روز طبیعت
01/18	روز سلامتی(روز جهانی بهداشت)
01/20	روز ملی فناوری هسته‌ای – روز هنر انقلاب اسلامی (سالروز شهادت سید مرتضی آوینی – ۱۳۷۲ ه‍.ش)
01/21	شهادت امیر سپهبد علی صیاد شیرازی(۱۳۷۸ ه‍.ش) – سالروز افتتاح حساب شمارهٔ ۱۰۰ به فرمان حضرت امام(ره) و تأسیس بنیاد مسکن انقلاب اسلامی(۱۳۵۸ ه‍.ش)
01/25	روز بزرگداشت عطار نیشابوری
01/29	روز ارتش جمهوری اسلامی و نیروی زمینی
02/01	روز بزرگداشت سعدی
02/02	تأسیس سپاه پاسداران انقلاب اسلامی(۱۳۵۸ ه‍.ش) – سالروز اعلام انقلاب فرهنگی(۱۳۵۹ ه‍.ش)
02/03	روز بزرگداشت شیخ بهایی
02/05	شکست حملهٔ نظامی آمریکا به ایران در طبس(۱۳۵۹ ه‍.ش)
02/07	روز ایمنی حمل و نقل
02/09	روز شوراها
02/10	روز ملی خلیج فارس
02/12	شهادت استاد مرتضی مطهری(۱۳۵۸ ه‍.ش) – روز معلم
02/15	روز بزرگداشت شیخ صدوق
02/18	روز بیماری‌های خاص و صعب‌العلاج
02/19	روز بزرگداشت شیخ کلینی
02/24	لغو امتیاز تنباکو به فتوای آیت‌اللّه میرزا حسن شیرازی(۱۲۷۰ ه‍.ش)
02/25	روز بزرگداشت حکیم ابوالقاسم فردوسی و پاسداشت زبان فارسی
02/28	روز بزرگداشت حکیم عمر خیام
02/30	روز ملی جمعیت
02/31	روز اهدای عضو، اهدای زندگی
03/01	روز بهره‌وری و بهینه‌سازی مصرف – روز بزرگداشت ملاصدرا(صدرالمتألهین)
03/03	فتح خرمشهر در عملیات بیت‌المقدس(۱۳۶۱ ه‍.ش) و روز مقاومت، ایثار و پیروزی
03/04	روز دزفول – روز مقاومت و پایداری
03/14	رحلت امام خمینی رهبر کبیر انقلاب اسلامی(۱۳۶۸ ه‍.ش) – انتخاب آیت‌اللّه خامنه‌ای به رهبری(۱۳۶۸ ه‍.ش)
03/15	قیام خونین ۱۵ خرداد(۱۳۴۲ ه‍.ش)
03/20	روز صنایع دستی
03/26	شهادت سربازان دلیر اسلام: بخارایی، امانی، صفار هندی و نیک‌نژاد(۱۳۴۴ ه‍.ش)
03/27	روز جهاد کشاورزی(تشکیل جهاد سازندگی به فرمان امام خمینی، ۱۳۵۸ ه‍.ش)
03/29	درگذشت دکتر علی شریعتی(۱۳۵۶ ه‍.ش)
03/31	شهادت دکتر مصطفی چمران(۱۳۶۰ ه‍.ش) – روز بسیج استادان
04/01	‫روز تبلیغ و اطلاع‌رسانی دینی(سالروز صدور فرمان حضرت امام خمینی(ره) مبنی بر‬ تأسیس سازمان تبلیغات اسلامی ۱۳۶۰ ه‍.ش) – روز اصناف‬
04/07	شهادت مظلومانهٔ آیت‌اللّه دکتر بهشتی و ۷۲ تن از یاران امام خمینی(۱۳۶۰ ه‍.ش) – روز قوهٔ قضاییه
